player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name,date_of_birth,country_of_citizenship,position,age_at_transfer,game_day,transfer_date_str,player_image_url,from_club_logo_url,to_club_logo_url
18922,2009-07-09,09/10,1041,418,Lyon,Real Madrid,35000000.0,29000000.0,Karim Benzema,1987-12-19,France,Attack,21.555099247091032,1,2009-07-09,https://img.a.transfermarkt.technology/portrait/header/18922-1702414196.jpg,https://tmssl.akamaized.net//images/wappen/head/1041.png?lm=1656668172,https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474
18922,2023-07-01,23/24,418,8023,Real Madrid,Al-Ittihad,0.0,25000000.0,Karim Benzema,1987-12-19,France,Attack,35.53182751540041,1,2023-07-01,https://img.a.transfermarkt.technology/portrait/header/18922-1702414196.jpg,https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,
18922,2026-02-02,25/26,8023,1114,Al-Ittihad,Al-Hilal,0.0,6000000.0,Karim Benzema,1987-12-19,France,Attack,38.12457221081451,1,2026-02-02,https://img.a.transfermarkt.technology/portrait/header/18922-1702414196.jpg,,
315779,2019-01-02,18/19,16,631,Dortmund,Chelsea,64000000.0,50000000.0,Christian Pulisic,1998-09-18,United States,Attack,20.290212183436,2,2019-01-02,https://img.a.transfermarkt.technology/portrait/header/315779-1691696699.jpg,https://tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911
315779,2019-01-03,18/19,631,16,Chelsea,Borussia Dortmund,0.0,50000000.0,Christian Pulisic,1998-09-18,United States,Attack,20.292950034223136,2,2019-01-03,https://img.a.transfermarkt.technology/portrait/header/315779-1691696699.jpg,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,https://tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280
315779,2019-06-30,18/19,16,631,Dortmund,Chelsea,0.0,60000000.0,Christian Pulisic,1998-09-18,United States,Attack,20.78028747433265,2,2019-06-30,https://img.a.transfermarkt.technology/portrait/header/315779-1691696699.jpg,https://tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911
315779,2023-07-13,23/24,631,5,Chelsea,AC Milan,20800000.0,25000000.0,Christian Pulisic,1998-09-18,United States,Attack,24.815879534565365,2,2023-07-13,https://img.a.transfermarkt.technology/portrait/header/315779-1691696699.jpg,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,https://tmssl.akamaized.net//images/wappen/head/5.png?lm=1605166627
225122,2017-01-25,16/17,294,583,Benfica,Paris Saint-Germain,30000000.0,9000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,20.15605749486653,3,2017-01-25,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,https://tmssl.akamaized.net//images/wappen/head/583.png?lm=1728026461
225122,2017-09-01,17/18,583,1049,PSG,Valencia,0.0,17000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,20.75564681724846,3,2017-09-01,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/583.png?lm=1728026461,https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320
225122,2018-06-30,17/18,1049,583,Valencia,Paris Saint-Germain,0.0,40000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,21.582477754962355,3,2018-06-30,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320,https://tmssl.akamaized.net//images/wappen/head/583.png?lm=1728026461
225122,2018-08-27,18/19,583,1049,PSG,Valencia,40000000.0,40000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,21.741273100616016,3,2018-08-27,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/583.png?lm=1728026461,https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320
225122,2022-08-08,22/23,1049,543,Valencia,Wolverhampton Wanderers,32600000.0,40000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,25.689253935660506,3,2022-08-08,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320,https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784
225122,2023-01-19,22/23,543,294,Wolves,Benfica,0.0,32000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,26.138261464750173,3,2023-01-19,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784,https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439
225122,2023-06-30,22/23,294,543,Benfica,Wolverhampton Wanderers,0.0,23000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,26.581793292265573,3,2023-06-30,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784
225122,2023-08-29,23/24,543,294,Wolves,Benfica,0.0,23000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,26.746064339493497,3,2023-08-29,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784,https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439
225122,2024-01-18,23/24,294,543,Benfica,Wolverhampton Wanderers,0.0,18000000.0,Gonçalo Guedes,1996-11-29,Portugal,Attack,27.134839151266256,3,2024-01-18,https://img.a.transfermarkt.technology/portrait/header/225122-1701334424.jpg,https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784
