player_name,nationality_name,from_club_name,to_club_name,transfer_fee,transfer_date,game_day,selected_nationality
Shoya Nakajima,Japan,Portimonense,Al-Duhail,35000000.0,2019-02-03,1,Japan
Hiroki Ito,Japan,Stuttgart,Bayern Munich,23500000.0,2024-07-01,1,Japan
Ritsu Doan,Japan,Freiburg,Frankfurt,21000000.0,2025-08-07,1,Japan
Wataru Endo,Japan,Stuttgart,Liverpool,20000000.0,2023-08-18,1,Japan
Takehiro Tomiyasu,Japan,Bologna,Arsenal,18600000.0,2021-08-31,1,Japan
Shinji Kagawa,Japan,Borussia Dortmund,Manchester United,16000000.0,2012-07-01,1,Japan
Takumi Minamino,Japan,Liverpool,Monaco,15000000.0,2022-07-01,1,Japan
Keito Nakamura,Japan,LASK,Stade Reims,12000000.0,2023-08-10,1,Japan
Kyogo Furuhashi,Japan,Celtic,Rennes,12000000.0,2025-01-27,1,Japan
Shinji Okazaki,Japan,Mainz 05,Leicester City,11000000.0,2015-07-01,1,Japan
Antoine Semenyo,Ghana,Bournemouth,Manchester City,72000000.0,2026-01-09,2,Ghana
Mohammed Kudus,Ghana,West Ham United,Tottenham Hotspur,63800000.0,2025-07-10,2,Ghana
Thomas Partey,Ghana,Atletico Madrid,Arsenal,50000000.0,2020-10-05,2,Ghana
Ernest Nuamah,Ghana,RWDM,Lyon,28500000.0,2024-07-07,2,Ghana
Abdul Rahman Baba,Ghana,Augsburg,Chelsea,26000000.0,2015-08-16,2,Ghana
Kamaldeen Sulemana,Ghana,Rennes,Southampton,25000000.0,2023-01-31,2,Ghana
André Ayew,Ghana,Swansea,West Ham United,24100000.0,2016-08-08,2,Ghana
Ibrahim Osman,Ghana,Nordsjaelland,Brighton & Hove Albion,19500000.0,2024-07-01,2,Ghana
Christopher Bonsu Baah,Ghana,Genk,Al-Qadsiah,17000000.0,2025-07-07,2,Ghana
Abdul Fatawu,Ghana,Sporting CP,Leicester City,16250000.0,2024-07-01,2,Ghana
Josko Gvardiol,Croatia,RB Leipzig,Manchester City,90000000.0,2023-08-05,3,Croatia
Mateo Kovacic,Croatia,Real Madrid,Chelsea,45000000.0,2019-07-01,3,Croatia
Luka Modrić,Croatia,Tottenham Hotspur,Real Madrid,35000000.0,2012-08-27,3,Croatia
Nikola Vlašić,Croatia,CSKA Moscow,West Ham United,30000000.0,2021-08-31,3,Croatia
Marko Pjaca,Croatia,Dinamo Zagreb,Juventus,29400000.0,2016-07-21,3,Croatia
Dejan Lovren,Croatia,Southampton,Liverpool,25300000.0,2014-07-27,3,Croatia
Lovro Majer,Croatia,Rennes,Wolfsburg,25000000.0,2023-08-16,3,Croatia
Franjo Ivanović,Croatia,Union SG,Benfica,22800000.0,2025-07-31,3,Croatia
Josip Sutalo,Croatia,Dinamo Zagreb,Ajax,20500000.0,2023-08-20,3,Croatia
Duje Caleta-Car,Croatia,Salzburg,Marseille,19000000.0,2018-07-20,3,Croatia
Moisés Caicedo,Ecuador,Brighton & Hove Albion,Chelsea,116000000.0,2023-08-14,4,Ecuador
Piero Hincapié,Ecuador,Bayer Leverkusen,Arsenal,52000000.0,2026-07-01,4,Ecuador
Willian Pacho,Ecuador,Frankfurt,Paris Saint-Germain,40000000.0,2024-08-09,4,Ecuador
Pervis Estupiñán,Ecuador,Villarreal,Brighton & Hove Albion,17800000.0,2022-08-16,4,Ecuador
Nilson Angulo,Ecuador,RSC Anderlecht,Sunderland,17340000.0,2026-02-02,4,Ecuador
Enner Valencia,Ecuador,Pachuca,West Ham United,15000000.0,2014-07-17,4,Ecuador
Gonzalo Plata,Ecuador,Real Valladolid,Al-Sadd,12000000.0,2023-07-23,4,Ecuador
Kendry Páez,Ecuador,Independiente,Chelsea,10000000.0,2025-07-01,4,Ecuador
