game_day,club,step_number,total_steps,difficulty,nationality,pool_size,sample_players,valid_players
1,Barcelona,1,4,Easy,France,14,"[""Antoine Griezmann"", ""Ousmane Dembélé"", ""Thierry Henry""]","[""Antoine Griezmann"", ""Ousmane Dembélé"", ""Thierry Henry"", ""Jules Koundé"", ""Samuel Umtiti"", ""Éric Abidal"", ""Lilian Thuram"", ""Ludovic Giuly"", ""Lucas Digne"", ""Clément Lenglet"", ""Jean-Clair Todibo"", ""Jérémy Mathieu"", ""Frédéric Déhu"", ""Laurent Blanc""]"
1,Barcelona,2,4,Medium,Argentina,21,"[""Lionel Messi"", ""Diego Maradona"", ""Juan Román Riquelme""]","[""Lionel Messi"", ""Diego Maradona"", ""Juan Román Riquelme"", ""Javier Mascherano"", ""Javier Saviola"", ""Sergio Agüero"", ""Emmanuel Martínez"", ""Jonathan Bauman"", ""Gonzalo Castillejos"", ""Marcelo Mosset"", ""Luca Sosa"", ""Cristian Sánchez Prette"", ""Diego Alarcón"", ""Christian Ortíz"", ""Antonio Barijho"", ""Juan Herbella"", ""Gustavo Balvorín"", ""Lucas Landa"", ""Brian Oyola"", ""Andrés Díaz"", ""Ricardo Noir""]"
1,Barcelona,3,4,Hard,Ivory Coast,2,"[""Franck Kessié"", ""Yaya Touré""]","[""Franck Kessié"", ""Yaya Touré""]"
1,Barcelona,4,4,The Unicorn,Iceland,1,"[""Eiður Guðjohnsen""]","[""Eiður Guðjohnsen""]"
2,Arsenal,1,4,Easy,England,74,"[""Raheem Sterling"", ""Bukayo Saka"", ""Declan Rice""]","[""Raheem Sterling"", ""Bukayo Saka"", ""Declan Rice"", ""Martin Keown"", ""Sol Campbell"", ""David Seaman"", ""Andy Cole"", ""Tony Adams"", ""Ashley Cole"", ""Ray Parlour"", ""Eberechi Eze"", ""Alex Oxlade-Chamberlain"", ""Ethan Nwaneri"", ""Noni Madueke"", ""Ben White"", ""Danny Welbeck"", ""Mason Greenwood"", ""Myles Lewis-Skelly"", ""Aaron Ramsdale"", ""Emile Smith Rowe"", ""Joe Willock"", ""Max Dowman"", ""Eddie Nketiah"", ""Jack Wilshere"", ""Reiss Nelson"", ""Theo Walcott"", ""Ainsley Maitland-Niles"", ""Rob Holding"", ""Calum Chambers"", ""Chuba Akpom"", ""David Bentley"", ""Kieran Gibbs"", ""Carl Jenkinson"", ""Matthew Upson"", ""Steve Sidwell"", ""Jaden Dixon"", ""Luke Freeman"", ""Luke Ayling"", ""Ife Ibrahim"", ""Marli Salmon"", ""Ben Sheaf"", ""Tommy Setford"", ""Henri Lansbury"", ""Arthur Okonkwo"", ""Matthew Connolly"", ""Brando Bailey-Joseph"", ""Andre Harriman-Annous"", ""Stuart Taylor"", ""Nathan Butler-Oyedeji"", ""Miguel Azeez"", ""Charles Sagoe Jr"", ""Marcus McGuane"", ""Zechariah Medley"", ""Matt Macey"", ""Ryan Smith"", ""Ben Cottrell"", ""James Dunne"", ""Stefan O'Connor"", ""Vince Bartram"", ""Matthew Rose"", ""Ryan Garry"", ""Nigel Winterburn"", ""Thomas Cruise"", ""Ben Chorley"", ""Paul Rodgers"", ""Paul Shaw"", ""Paul Merson"", ""Rene Steer"", ""John Halls"", ""Tommy Black"", ""Mark Howard"", ""Mark Randall"", ""Kerrea Gilbert"", ""Alan Miller""]"
2,Arsenal,2,4,Medium,Germany,10,"[""Lukas Podolski"", ""Kai Havertz"", ""Serge Gnabry""]","[""Lukas Podolski"", ""Kai Havertz"", ""Serge Gnabry"", ""Mesut Özil"", ""Jens Lehmann"", ""Per Mertesacker"", ""Bernd Leno"", ""Shkodran Mustafi"", ""Thomas Eisfeld"", ""Stefan Malz""]"
2,Arsenal,3,4,Hard,Switzerland,3,"[""Granit Xhaka"", ""Stephan Lichtsteiner"", ""Martin Angha""]","[""Granit Xhaka"", ""Stephan Lichtsteiner"", ""Martin Angha""]"
2,Arsenal,4,4,The Unicorn,Chile,1,"[""Alexis Sánchez""]","[""Alexis Sánchez""]"
3,Juventus,1,4,Easy,Argentina,11,"[""Angel Di Maria"", ""Paulo Dybala"", ""Leandro Paredes""]","[""Angel Di Maria"", ""Paulo Dybala"", ""Leandro Paredes"", ""Cristian Romero"", ""Gonzalo Higuaín"", ""Carlos Tevez"", ""Nico González"", ""Roberto Pereyra"", ""Matías Soulé"", ""Enzo Barrenechea"", ""Carlos Alcaraz""]"
3,Juventus,2,4,Medium,Portugal,9,"[""Cristiano Ronaldo"", ""João Cancelo"", ""João Mário""]","[""Cristiano Ronaldo"", ""João Cancelo"", ""João Mário"", ""Francisco Conceição"", ""Renato Veiga"", ""Félix Correia"", ""Alberto Costa"", ""Tiago Djaló"", ""Tiago Mendes""]"
3,Juventus,3,4,Hard,Chile,3,"[""Arturo Vidal"", ""Marcelo Salas"", ""Mauricio Isla""]","[""Arturo Vidal"", ""Marcelo Salas"", ""Mauricio Isla""]"
3,Juventus,4,4,The Unicorn,Bosnia & Herzegovina,1,"[""Miralem Pjanić""]","[""Miralem Pjanić""]"
4,Bayern Munich,1,4,Easy,Germany,110,"[""Thomas Müller"", ""Joshua Kimmich"", ""Jamal Musiala""]","[""Thomas Müller"", ""Joshua Kimmich"", ""Jamal Musiala"", ""Leroy Sané"", ""Manuel Neuer"", ""Lukas Podolski"", ""Serge Gnabry"", ""Leon Goretzka"", ""Mats Hummels"", ""Mario Götze"", ""Niklas Süle"", ""Aleksandar Pavlovic"", ""Miroslav Klose"", ""Andreas Brehme"", ""Jürgen Klinsmann"", ""Karl-Heinz Rummenigge"", ""Jérôme Boateng"", ""Toni Kroos"", ""Gerd Müller"", ""Lothar Matthäus"", ""Michael Ballack"", ""Sepp Maier"", ""Klaus Augenthaler"", ""Paul Breitner"", ""Oliver Kahn"", ""Jens Jeremies"", ""Stefan Reuter"", ""Jürgen Kohler"", ""Philipp Lahm"", ""Bastian Schweinsteiger"", ""Franz Beckenbauer"", ""Mario Gomez"", ""Stefan Effenberg"", ""Mehmet Scholl"", ""Uli Hoeneß"", ""Jonathan Tah"", ""Emre Can"", ""Lennart Karl"", ""Angelo Stiller"", ""Tom Bischof"", ""Bright Arrey-Mbi"", ""Mitchell Weiser"", ""Niklas Dorsch"", ""Holger Badstuber"", ""Alexander Nübel"", ""Jonas Urbig"", ""Sebastian Rudy"", ""Maurice Krattenmacher"", ""Wisdom Mike"", ""Sandro Wagner"", ""Fiete Arp"", ""Serdar Tasci"", ""Nils Petersen"", ""Arijon Ibrahimovic"", ""Lukas Mai"", ""Sebastian Rode"", ""Piotr Trochowski"", ""Christopher Scott"", ""Cassiano Kiala"", ""Frans Krätzig"", ""Armindo Sieb"", ""Sven Ulreich"", ""Adrian Fein"", ""Jan Schlaudraff"", ""Jan Kirchhoff"", ""Christian Lell"", ""Leon Dajaku"", ""Tom Starke"", ""Markus Feulner"", ""Markus Steinhöfer"", ""Diego Contento"", ""Gianluca Gaudino"", ""Andreas Ottl"", ""Meritan Shabani"", ""Erblin Osmani"", ""Stephan Fürstner"", ""Sinan Kurt"", ""Lukas Görtler"", ""Rico Strieder"", ""Oliver Batista Meier"", ""Christian Früchtl"", ""Felix Götze"", ""Ron-Thorben Hoffmann"", ""Lukas Raeder"", ""Johannes Schenk"", ""Dieter Frey"", ""Michael Tarnat"", ""Alexander Zickler"", ""Marco Grimm"", ""Hans Jörg Butt"", ""Bernd Dreher"", ""Stefan Wessels"", ""Dennis Grassow"", ""Alexander Bugera"", ""Bruno Labbadia"", ""Andreas Görlitz"", ""Sven Scheuer"", ""Mario Basler"", ""Jan Schlösser"", ""Dietmar Hamann"", ""Sebastian Deisler"", ""Thomas Linke"", ""Tobias Rau"", ""Torsten Frings"", ""Thorsten Fink"", ""Markus Babbel"", ""Frank Wiblishauser"", ""Uwe Gospodarek"", ""Carsten Jancker"", ""Stefan Leitl""]"
4,Bayern Munich,2,4,Medium,Brazil,9,"[""Philippe Coutinho"", ""Rafinha"", ""Lúcio""]","[""Philippe Coutinho"", ""Rafinha"", ""Lúcio"", ""Zé Roberto"", ""Giovane Élber"", ""Douglas Costa"", ""Luiz Gustavo"", ""Dante"", ""Maycon Cardozo""]"
4,Bayern Munich,3,4,Hard,Senegal,4,"[""Sadio Mané"", ""Nicolas Jackson"", ""Bouna Sarr""]","[""Sadio Mané"", ""Nicolas Jackson"", ""Bouna Sarr"", ""Bara Sapoko Ndiaye""]"
4,Bayern Munich,4,4,The Unicorn,Poland,1,"[""Robert Lewandowski""]","[""Robert Lewandowski""]"
5,Paris Saint-Germain,1,4,Easy,Brazil,19,"[""Neymar"", ""Marquinhos"", ""Ronaldinho""]","[""Neymar"", ""Marquinhos"", ""Ronaldinho"", ""Thiago Silva"", ""David Luiz"", ""Raí"", ""Rafael Alcântara"", ""Rafinha"", ""Dani Alves"", ""Maxwell"", ""Lucas Moura"", ""Lucas Beraldo"", ""Nenê"", ""Alex"", ""Gabriel Moscardo"", ""André Luiz"", ""Valdo"", ""Aloisio Chulapa"", ""Ceará""]"
5,Paris Saint-Germain,2,4,Medium,Argentina,7,"[""Lionel Messi"", ""Angel Di Maria"", ""Leandro Paredes""]","[""Lionel Messi"", ""Angel Di Maria"", ""Leandro Paredes"", ""Giovani Lo Celso"", ""Mauro Icardi"", ""Ezequiel Lavezzi"", ""Javier Pastore""]"
5,Paris Saint-Germain,3,4,Hard,Uruguay,5,"[""Edinson Cavani"", ""Cristian Rodríguez"", ""Carlos Bueno""]","[""Edinson Cavani"", ""Cristian Rodríguez"", ""Carlos Bueno"", ""Diego Lugano"", ""Manuel Ugarte""]"
5,Paris Saint-Germain,4,4,The Unicorn,Georgia,1,"[""Khvicha Kvaratskhelia""]","[""Khvicha Kvaratskhelia""]"
6,Ajax,1,4,Easy,Denmark,18,"[""Christian Eriksen"", ""Brian Laudrup"", ""Michael Laudrup""]","[""Christian Eriksen"", ""Brian Laudrup"", ""Michael Laudrup"", ""Kasper Dolberg"", ""Lasse Schöne"", ""Rasmus Nissen Kristensen"", ""Nicolai Boilesen"", ""Mohamed Daramy"", ""Christian Poulsen"", ""Christian Rasmussen"", ""Anton Gaaei"", ""Viktor Fischer"", ""Dennis Rommedahl"", ""Michael Krohn-Dehli"", ""Niki Zimling"", ""Victor Jensen"", ""Lucas Andersen"", ""Rasmus Kristensen""]"
6,Ajax,2,4,Medium,Argentina,8,"[""Nicolás Tagliafico"", ""Lisandro Martínez"", ""Lucas Ocampos""]","[""Nicolás Tagliafico"", ""Lisandro Martínez"", ""Lucas Ocampos"", ""Maher Carrizo"", ""Gerónimo Rulli"", ""Lisandro Magallán"", ""Gastón Ávila"", ""Mauro Rosales""]"
6,Ajax,3,4,Hard,Belgium,8,"[""Jan Vertonghen"", ""Toby Alderweireld"", ""Thomas Vermaelen""]","[""Jan Vertonghen"", ""Toby Alderweireld"", ""Thomas Vermaelen"", ""Mika Godts"", ""Mats Rits"", ""Jelle Van Damme"", ""Laurent Delorge"", ""Tom De Mul""]"
6,Ajax,4,4,The Unicorn,Mexico,2,"[""Edson Álvarez"", ""Jorge Sánchez""]","[""Edson Álvarez"", ""Jorge Sánchez""]"
7,Benfica,1,4,Easy,Portugal,129,"[""Bernardo Silva"", ""João Neves"", ""Rúben Dias""]","[""Bernardo Silva"", ""João Neves"", ""Rúben Dias"", ""João Félix"", ""João Cancelo"", ""Eusébio"", ""Maniche"", ""Rui Costa"", ""Simão Sabrosa"", ""Nélson Semedo"", ""João Mário"", ""Gonçalo Ramos"", ""Gonçalo Guedes"", ""António Silva"", ""Renato Sanches"", ""André Gomes"", ""José Fonte"", ""Rafa Silva"", ""Pizzi"", ""Miguelito"", ""Paulo Bernardo"", ""Tomás Araújo"", ""Henrique Araújo"", ""André Almeida"", ""Florentino"", ""Jota"", ""João Carvalho"", ""Nuno Tavares"", ""Simão"", ""Bruma"", ""Gedson Fernandes"", ""Fábio Coentrão"", ""Nélson Oliveira"", ""Tiago Dantas"", ""Diogo Gonçalves"", ""João Teixeira"", ""João Rego"", ""Ferro"", ""Tomás Tavares"", ""Roderick Miranda"", ""Nuno Santos"", ""Alex"", ""Yuri Ribeiro"", ""André Horta"", ""Rúben Lima"", ""Mário Rui"", ""Tiago Mendes"", ""Gil Dias"", ""Dyego Sousa"", ""David Simão"", ""Eduardo"", ""Leandro Santos"", ""Anísio Cabral"", ""Salvador Agra"", ""Pedro Rebocho"", ""João Veloso"", ""João Pereira"", ""Manu Silva"", ""Martim Neto"", ""Chiquinho"", ""José Moreira"", ""Mika"", ""Sílvio"", ""Daniel Banjaqui"", ""Nuno Félix"", ""Carlos Martins"", ""Pedro Pereira"", ""Tiago Gouveia"", ""Diogo Prioste"", ""Tiago Freitas"", ""Gonçalo Oliveira"", ""José Neto"", ""Rui Fonte"", ""Rúben Amorim"", ""Eliseu"", ""Bruno Costa"", ""Manú"", ""Ivan Lima"", ""Samuel Soares"", ""João Ferreira"", ""Miguel Rosa"", ""Quim"", ""Carlitos"", ""Daniel Candeias"", ""João Amaral"", ""Gonçalo Moreira"", ""Luísinho"", ""César Peixoto"", ""João Tomás"", ""Rúben Pinto"", ""Hugo Leal"", ""Tiago Gomes"", ""Rodrigo Rêgo"", ""Nuno Coelho"", ""Diogo Spencer"", ""Paulo Jorge"", ""Luís Martins"", ""Paulo Lopes"", ""João Vilela"", ""Zé Gomes"", ""Leandro Pimenta"", ""Luís Filipe"", ""Pedro Nuno"", ""João Coimbra"", ""Amoreirinha"", ""Pedro Correia"", ""Ricardo Janota"", ""Nandinho"", ""Marco Ferreira"", ""Eduardo Simões"", ""João Manuel Pinto"", ""Ivan Santos"", ""Rui Baião"", ""Ricardo Rocha"", ""Fernando Meira"", ""José Dominguez"", ""Toni"", ""Jorge Ribeiro"", ""Bruno Caires"", ""Nuno Gomes"", ""André Carvalhas"", ""Nuno Assis"", ""Romeu Ribeiro"", ""André Soares"", ""Bruno Aguiar"", ""Hugo Costa"", ""Ricardo Esteves"", ""Rui Nereu"", ""Abel Pereira""]"
7,Benfica,2,4,Medium,Uruguay,6,"[""Darwin Núñez"", ""Cristian Rodríguez"", ""Jonathan Rodríguez""]","[""Darwin Núñez"", ""Cristian Rodríguez"", ""Jonathan Rodríguez"", ""Maximiliano Pereira"", ""Jonathan Urretaviscaya"", ""Maxi Pereira""]"
7,Benfica,3,4,Hard,Belgium,4,"[""Jan Vertonghen"", ""Axel Witsel"", ""Dodi Lukébakio""]","[""Jan Vertonghen"", ""Axel Witsel"", ""Dodi Lukébakio"", ""Diego Moreira""]"
7,Benfica,4,4,The Unicorn,Slovenia,2,"[""Jan Oblak"", ""Zlatko Zahovic""]","[""Jan Oblak"", ""Zlatko Zahovic""]"
8,Galatasaray,1,4,Easy,Brazil,15,"[""Maicon"", ""Cris"", ""Alex Telles""]","[""Maicon"", ""Cris"", ""Alex Telles"", ""Tetê"", ""Gabriel Sara"", ""Fernando"", ""Carlos Vinícius"", ""Felipe Melo"", ""Lincoln"", ""Marcão"", ""Gustavo Assunção"", ""Mariano"", ""Jô"", ""Márcio Mixirica"", ""Capone""]"
8,Galatasaray,2,4,Medium,Spain,6,"[""Álvaro Morata"", ""Juan Mata"", ""Angeliño""]","[""Álvaro Morata"", ""Juan Mata"", ""Angeliño"", ""Albert Riera"", ""Iñaki Peña"", ""José Rodríguez""]"
8,Galatasaray,3,4,Hard,Germany,6,"[""Leroy Sané"", ""Lukas Podolski"", ""İlkay Gündoğan""]","[""Leroy Sané"", ""Lukas Podolski"", ""İlkay Gündoğan"", ""Kerem Demirbay"", ""Kevin Großkreutz"", ""Koray Günter""]"
